sno,Rooms,Bathrooms,Area,Converted_Area,Dogs_allowed,Cats_allowed
207,1,1.0,0,0.0,not allowed,not allowed
208,1,1.0,0,0.0,allowed,allowed
209,1,1.0,546sf,546.0,allowed,allowed
210,4,4.0,0,0.0,not allowed,not allowed
212,2,1.0,1663sf,1663.0,not allowed,not allowed
213,1,1.5,1208sf,1208.0,not allowed,not allowed
214,2,2.0,810sf,810.0,allowed,allowed
215,3,2.0,1375sf,1375.0,not allowed,not allowed
216,3,2.0,1122sf,1122.0,allowed,allowed
217,3,2.5,2517sf,2517.0,not allowed,not allowed
218,4,2.0,0,0.0,not allowed,not allowed
219,1,1.0,0,0.0,not allowed,not allowed
220,2,2.0,0,0.0,not allowed,not allowed
221,3,2.5,2037sf,2037.0,not allowed,not allowed
222,3,3.0,0,0.0,not allowed,not allowed
223,5,3.5,2710sf,2710.0,not allowed,not allowed
224,1,1.0,365sf,365.0,allowed,allowed
226,4,2.5,2396sf,2396.0,not allowed,not allowed
227,3,2.0,1271sf,1271.0,not allowed,not allowed
228,5,3.5,5383sf,5383.0,not allowed,not allowed
229,4,2.5,2380sf,2380.0,not allowed,not allowed
230,2,2.0,1048sf,1048.0,allowed,allowed
231,3,2.0,1454sf,1454.0,allowed,allowed
232,7,3.0,3500sf,3500.0,allowed,allowed
233,1,1.0,516sf,516.0,allowed,allowed
234,2,1.0,588sf,588.0,not allowed,not allowed
236,2,2.0,1200sf,1200.0,allowed,allowed
237,3,2.0,1625sf,1625.0,allowed,allowed
238,1,1.0,400sf,400.0,not allowed,not allowed
239,15,2.0,1955sf,1955.0,not allowed,not allowed
240,3,2.0,1089sf,1089.0,not allowed,not allowed
241,2,1.0,1062sf,1062.0,allowed,allowed
242,1,1.0,0,0.0,allowed,allowed
243,3,2.0,1562sf,1562.0,not allowed,not allowed
244,1,1.0,624sf,624.0,not allowed,not allowed
245,3,1.0,1144sf,1144.0,not allowed,not allowed
246,3,2.5,1571sf,1571.0,not allowed,not allowed
247,1,1.0,731sf,731.0,allowed,allowed
248,1,1.0,750sf,750.0,allowed,allowed
250,3,2.0,988sf,988.0,not allowed,not allowed
251,2,2.5,1290sf,1290.0,not allowed,not allowed
252,2,2.0,1000sf,1000.0,allowed,allowed
253,3,2.0,1439sf,1439.0,not allowed,not allowed
254,3,2.0,0,0.0,allowed,allowed
255,1,1.0,600sf,600.0,not allowed,not allowed
256,3,2.0,1512sf,1512.0,not allowed,not allowed
257,3,2.0,0,0.0,allowed,allowed
258,1,1.0,0,0.0,not allowed,not allowed
260,4,2.5,2308sf,2308.0,not allowed,not allowed
261,1,1.0,1sf,1.0,not allowed,not allowed
262,3,2.5,1570sf,1570.0,not allowed,not allowed
263,3,2.5,1859sf,1859.0,not allowed,not allowed
264,2,2.0,1141sf,1141.0,allowed,allowed
265,4,3.0,2600sf,2600.0,not allowed,not allowed
266,1,1.5,912sf,912.0,not allowed,not allowed
267,1,1.0,0,0.0,not allowed,not allowed
268,4,2.0,0,0.0,not allowed,not allowed
269,4,2.0,1800sf,1800.0,not allowed,not allowed
270,4,2.0,2173sf,2173.0,not allowed,not allowed
271,6,6.0,6100sf,6100.0,allowed,allowed
272,2,2.0,1023sf,1023.0,not allowed,not allowed
274,3,2.0,1575sf,1575.0,allowed,allowed
275,2,1.0,841sf,841.0,not allowed,not allowed
276,1,1.0,0,0.0,not allowed,not allowed
277,1,1.0,0,0.0,not allowed,not allowed
278,4,3.5,2753sf,2753.0,not allowed,not allowed
279,1,1.0,0,0.0,not allowed,not allowed
280,1,1.0,0,0.0,not allowed,not allowed
281,2,2.0,1052sf,1052.0,not allowed,not allowed
282,4,3.0,1661sf,1661.0,not allowed,not allowed
284,3,2.0,1388sf,1388.0,not allowed,not allowed
285,2,2.5,2223sf,2223.0,not allowed,not allowed
286,4,2.0,0,0.0,allowed,allowed
287,4,3.0,2205sf,2205.0,not allowed,not allowed
288,3,3.0,2220sf,2220.0,allowed,allowed
289,3,2.0,1229sf,1229.0,not allowed,not allowed
290,1,1.0,630sf,630.0,not allowed,not allowed
291,1,1.0,817sf,817.0,allowed,allowed
292,1,1.0,0,0.0,not allowed,not allowed
293,1,1.0,0,0.0,allowed,allowed
294,4,2.0,1355sf,1355.0,not allowed,not allowed
295,2,2.0,880sf,880.0,not allowed,not allowed
296,9,6.0,0,0.0,not allowed,not allowed
298,2,2.5,1566sf,1566.0,not allowed,not allowed
299,2,2.0,920sf,920.0,not allowed,not allowed
300,6,4.0,3427sf,3427.0,not allowed,not allowed
301,3,3.0,1300sf,1300.0,not allowed,not allowed
302,1,1.0,535sf,535.0,allowed,allowed
303,1,1.0,0,0.0,allowed,allowed
304,1,1.0,790sf,790.0,not allowed,not allowed
305,1,1.0,0,0.0,not allowed,not allowed
306,3,2.5,1968sf,1968.0,not allowed,not allowed
308,3,2.0,0,0.0,allowed,allowed
309,1,1.0,500sf,500.0,not allowed,not allowed
310,1,1.0,0,0.0,allowed,allowed
311,1,1.0,480sf,480.0,not allowed,not allowed
312,1,1.0,581sf,581.0,not allowed,not allowed
313,1,1.0,626sf,626.0,not allowed,not allowed
314,3,1.0,1300sf,1300.0,allowed,not allowed
315,2,2.0,990sf,990.0,not allowed,not allowed
316,1,1.0,1688sf,1688.0,not allowed,not allowed
317,2,2.0,0,0.0,not allowed,not allowed
318,1,1.0,5150sf,5150.0,not allowed,not allowed
319,1,1.0,617sf,617.0,not allowed,not allowed
320,2,1.0,920sf,920.0,allowed,allowed
322,3,1.0,1500sf,1500.0,not allowed,not allowed
323,3,1.0,0,0.0,not allowed,not allowed
324,1,1.0,500sf,500.0,not allowed,not allowed
