sno,City,Location,StateCode,CountryCode,Price,Price_INR,Deposite
267,Austin TX,"Austin, TX",TX,US,"$5,550",413475.0,0.0
268,Austin TX,"Austin, TX",TX,US,"$10,350",771075.0,0.0
269,Austin TX,"Del Valle High School, 5201 Ross Road, Austin, TX 78617, USA",TX,US,"$4,560",339720.0,0.0
270,Austin TX,"1726 Chasewood Drive, Austin, TX 78727, USA",TX,US,"$3,800",283100.0,0.0
271,Austin TX,"Austin, TX",TX,US,"$48,480",3611760.0,0.0
272,Austin TX,"Milwood Trail, Austin, TX, USA",TX,US,"$1,895",141177.5,0.0
274,Austin TX,"Austin, TX",TX,US,"$16,500",1229250.0,0.0
275,Austin TX,"3212 Red River Street, Austin, TX 78722, USA",TX,US,"$1,900",141550.0,0.0
276,Austin TX,"Pflugerville, TX",TX,US,"$9,000",670500.0,0.0
277,Austin TX,"Volente, TX",TX,US,"$7,110",529695.0,0.0
278,Austin TX,"1407 E M Franklin Avenue, Austin, TX 78723, USA",TX,US,"$5,495",409377.5,0.0
279,Austin TX,"8910 Schick Road, Austin, TX 78729, USA",TX,US,"$1,650",122925.0,0.0
280,Austin TX,"Econo Lodge North Austin, Camino La Costa, Austin, TX 78752, USA",TX,US,$899,66975.5,0.0
281,Austin TX,"3809 Valley View Road, Austin, TX 78704, USA",TX,US,"$3,700",275650.0,0.0
282,Austin TX,"1216 Delano Street, Austin, TX 78721, USA",TX,US,"$4,800",357600.0,0.0
284,Austin TX,"6903 Circle S Road, Austin, TX 78745, USA",TX,US,"$2,250",167625.0,0.0
285,Austin TX,"2119 Frate Barker Road, Austin, TX 78748, USA",TX,US,"$3,475",258887.5,0.0
286,Austin TX,"Austin, TX",TX,US,"$8,580",639210.0,0.0
287,Austin TX,"312 West 37th Street, Austin, TX 78705, USA",TX,US,"$5,400",402300.0,0.0
288,Austin TX,"Red River St, Unit 2811",TX,US,"$7,740",576630.0,26075.0
289,Austin TX,"1207 Romeria Drive, Austin, TX 78757, USA",TX,US,"$4,000",298000.0,0.0
290,Austin TX,"Austin, TX",TX,US,"$2,220",165390.0,0.0
291,Austin TX,507 Pressler Street,TX,US,"$2,481",184834.5,0.0
292,Austin TX,"5105 Spruce Cove, Austin, TX 78744, USA",TX,US,$725,54012.5,0.0
293,Austin TX,"Austin, North Shoal Creek, TX, US",TX,US,$849,63250.5,0.0
294,Austin TX,"1009 Alden Drive, Austin, TX 78758, USA",TX,US,"$2,200",163900.0,0.0
295,Austin TX,"Austin, TX",TX,US,"$4,950",368775.0,0.0
296,Austin TX,"Austin, TX",TX,US,"$38,130",2840685.0,0.0
298,Austin TX,"1500 Elton Lane, Austin, TX 78703, USA",TX,US,"$3,000",223500.0,0.0
299,Austin TX,"9508 Kempler Drive, Austin, TX 78748, USA",TX,US,"$1,495",111377.5,0.0
300,Austin TX,"727 Pioneer Grove, Round Rock, TX 78665, USA",TX,US,"$3,500",260750.0,0.0
301,Austin TX,"Austin, TX",TX,US,"$4,410",328545.0,0.0
302,Austin TX,"Austin, TX",TX,US,"$2,970",221265.0,0.0
303,Austin TX,"TX, US",TX,US,$690,51405.0,0.0
304,Austin TX,"Austin, TX",TX,US,"$4,470",333015.0,0.0
305,Austin TX,"1509 West 29th Street, Austin, TX 78799, USA",TX,US,"$2,300",171350.0,0.0
306,Austin TX,"1490 Falconer Way, Manchaca, Travis County, TX 78748, USA",TX,US,"$2,500",186250.0,0.0
308,Austin TX,"Austin, TX",TX,US,"$7,470",556515.0,0.0
