City,Price,Rooms,Bathrooms,Area,Location,Amenities,Dogs_allowed,Cats_allowed,Deposite
Austin TX,"$3,930",2,1.0,950sf,"Austin, TX","['Air Conditioning', 'Balcony', 'Elevator', 'Parking', 'Dishwasher']",not allowed,not allowed,0
Austin TX,"$5,500",3,2.0,"1,561sf","3402 Clawson Road, Austin, TX 78704, USA",[],not allowed,not allowed,0
Austin TX,"$18,630",Studio,1.0,unknown,"Austin, TX","['Air Conditioning', 'Fireplace', 'Parking', 'Dishwasher']",allowed,allowed,0
Austin TX,"$1,595",2,2.0,554sf,"601 Nelray Boulevard, Austin, TX 78751, USA",[],not allowed,not allowed,0
Austin TX,"$21,900",6,5.0,"3,600sf","Austin, TX","['Air Conditioning', 'Balcony', 'Parking', 'Dishwasher', 'Garden']",allowed,allowed,0
Austin TX,"$16,170",2,2.0,unknown,"Austin, TX","['Air Conditioning', 'Balcony', 'Parking', 'Pool', 'Dishwasher']",not allowed,not allowed,0
Austin TX,"$3,720",Studio,1.0,645sf,"Austin, TX","['Air Conditioning', 'Parking', 'Pool', 'Dishwasher']",not allowed,not allowed,0
Austin TX,"$2,950",4,2.5,"2,217sf","7204 Bertram Court, Austin, TX 78741, USA",[],not allowed,not allowed,0
,,,,,,,,,
Austin TX,"$2,995",3,2.0,"1,186sf","2800 West 45th Street, Austin, TX 78756, USA",[],not allowed,not allowed,0
Austin TX,"$25,500",4,2.0,"1,650sf","Austin, TX","['Air Conditioning', 'Balcony', 'Parking', 'Dishwasher', 'Garden']",not allowed,not allowed,0
Austin TX,"$2,950",2,2.5,"1,092sf","1701 Hillcrest Lane, Austin, TX 78721, USA",[],not allowed,not allowed,0
Austin TX,"$1,500",1,1.0,576sf,"7685 Northcross Drive, Austin, TX 78757, USA",[],not allowed,not allowed,0
Austin TX,"$1,780",3,2.5,"1,310sf","1064 Greenbriar Loop, Round Rock, TX 78664, USA",[],not allowed,not allowed,0
Austin TX,"$1,450",1,1.0,651sf,"2931 East 12th Street, Austin, TX 78702, USA",[],not allowed,not allowed,0
Austin TX,"$2,100",3,2.5,"1,565sf","11740 Malamute Road, Manchaca, Travis County, TX 78748, USA",[],not allowed,not allowed,0
Austin TX,"$3,400",5,2.0,"2,077sf","2507 Rogge Lane, Austin, TX 78723, USA",[],not allowed,not allowed,0
Austin TX,"$1,575",Studio,1.0,unknown,"9700 Carson Creek Boulevard, Austin, TX 78617, USA",[],not allowed,not allowed,0
Austin TX,"$1,020",1,1.0,unknown,"Austin, TX","['Air Conditioning', 'Dishwasher']",not allowed,not allowed,0
Austin TX,"$3,100",1,1.0,652sf,"Fifth & West Residence, 501 West 5th Street, Austin, TX 78701, USA",[],not allowed,not allowed,0
Austin TX,"$6,150",3,2.0,unknown,"Jonestown, TX","['Air Conditioning', 'Pool', 'Dishwasher']",not allowed,not allowed,0
Austin TX,"$2,295",3,2.0,"1,378sf","10410 Broken Shoe Trail, Austin, TX 78750, USA",[],not allowed,not allowed,0
,,,,,,,,,
Austin TX,"$3,480",1,1.0,650sf,"Austin, TX","['Air Conditioning', 'Balcony', 'Fireplace', 'Parking', 'Dishwasher']",not allowed,not allowed,0
Austin TX,"$2,750",4,2.5,"2,733sf","1706 Alison Ann Court, Pflugerville, TX 78660, USA",[],not allowed,not allowed,0
Austin TX,"$4,770",3,2.0,"1,402sf","Austin, TX","['Air Conditioning', 'Parking', 'Dishwasher', 'Garden', 'Wheelchair Accessible']",allowed,allowed,0
Austin TX,"$2,400",2,1.0,829sf,"Austin, TX","['Air Conditioning', 'Parking', 'Dishwasher']",allowed,allowed,0
Austin TX,"$3,000",4,2.0,"2,200sf",13104 Bennington Lane,"['Air Conditioning', 'Dishwasher', 'Hardwood Floors', 'Pool']",allowed,allowed,"$1,000"
Austin TX,"$2,100",3,2.0,"1,304sf","12004 Thompkins Drive, Austin, TX 78753, USA",[],not allowed,not allowed,0
Austin TX,"$3,000",3,2.0,"1,566sf","2508 Sonoma Cove, Travis County, TX 78738, USA",[],not allowed,not allowed,0
Austin TX,"$1,550",Studio,1.0,unknown,"469 Rawhide Loop, Round Rock, TX 78681, USA",[],not allowed,not allowed,0
Austin TX,"$8,880",3,3.0,"1,800sf","Austin, TX","['Air Conditioning', 'Balcony', 'Parking', 'Pool', 'Dishwasher', 'Garden']",not allowed,not allowed,0
,,,,,,,,,
Austin TX,"$1,100",1,1.0,unknown,"6720 Quinton Drive, Austin, TX 78747, USA",['Furnished'],not allowed,not allowed,0
Austin TX,"$3,960",3,2.0,unknown,"Austin, TX",['Air Conditioning'],allowed,allowed,0
Austin TX,$798,Studio,1.0,508sf,"Austin, Spice Forest, TX, US",[],allowed,allowed,0
Austin TX,"$2,800",2,2.5,"1,242sf","1402 Meander Drive, Austin, TX 78721, USA",[],not allowed,not allowed,0
Austin TX,"$2,200",2,2.0,950sf,"4902 Gladeview Drive, Austin, TX 78745, USA",[],not allowed,not allowed,0
Austin TX,"$4,110",1,1.0,290sf,"Austin, TX","['Air Conditioning', 'Parking', 'Garden']",not allowed,not allowed,0
Austin TX,"$1,875",Studio,1.0,unknown,"9004 Sanger Drive, Austin, TX 78748, USA",[],not allowed,not allowed,0
Austin TX,"$10,590",3,2.0,unknown,"Austin, TX","['Air Conditioning', 'Balcony', 'Parking', 'Dishwasher', 'Garden']",allowed,allowed,0
Austin TX,"$2,500",4,2.5,"1,953sf","12315 Maypole Bend, Austin, TX 78717, USA",[],not allowed,not allowed,0
Austin TX,"$4,000",3,3.5,"1,706sf","1100 Brass Street, Austin, TX 78702, USA",[],not allowed,not allowed,0
Austin TX,"$1,850",2,2.0,"1,541sf","11213 Ranch Road 2222, Austin, TX 78730, USA",[],not allowed,not allowed,0
Austin TX,"$2,950",4,2.0,"2,258sf","673 Noatak Trail, Pflugerville, TX 78660, USA",[],not allowed,not allowed,0
Austin TX,"$13,000",6,4.0,"3,095sf","912 South 5th Street, Austin, TX 78704, USA",[],not allowed,not allowed,0
,,,,,,,,,
Austin TX,"$22,050",5,5.0,unknown,"Round Rock, TX","['Air Conditioning', 'Balcony', 'Fireplace', 'Parking', 'Dishwasher', 'Garden']",not allowed,not allowed,0
Austin TX,"$30,000",6,4.0,"6,000sf","Austin, TX","['Air Conditioning', 'Balcony', 'Fireplace', 'Parking', 'Pool', 'Dishwasher', 'Garden']",allowed,allowed,0
Austin TX,"$22,290",4,3.0,unknown,"Austin, TX",['Air Conditioning'],allowed,allowed,0
Austin TX,"$5,250",1,1.0,unknown,"Austin, TX","['Air Conditioning', 'Parking', 'Dishwasher', 'Garden']",allowed,allowed,0
Austin TX,"$1,775",2,2.0,"1,206sf","5328 Balcones Drive, Austin, TX 78731, USA",[],not allowed,not allowed,0
Austin TX,"$3,950",3,2.0,"1,600sf","5700 Avenue D, Austin, TX 78752, USA",[],not allowed,not allowed,0
Austin TX,"$2,495",4,2.0,"1,923sf","10004 Parkfield Drive, Austin, TX 78758, USA",[],not allowed,not allowed,0
Austin TX,"$4,260",2,2.0,"1,065sf","Austin, TX","['Air Conditioning', 'Fireplace', 'Parking', 'Dishwasher']",allowed,allowed,0
